movie_title,genres,budget,gross,imdb_score,plot_keywords,sentiment,sentiment_label
Transformers: Revenge of the Fallen ,"['Action', 'Adventure', 'Sci-Fi']",200000000.0,402076689.0,6.0,autobot|decepticon|machine|sun|symbol,0.0,Neutral
Transformers: Age of Extinction ,"['Action', 'Adventure', 'Sci-Fi']",210000000.0,245428137.0,5.7,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,0.0,Neutral
Oz the Great and Powerful ,"['Adventure', 'Family', 'Fantasy']",215000000.0,234903076.0,6.4,circus|magic|magician|oz|witch,0.0,Neutral
The Amazing Spider-Man 2 ,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",200000000.0,202853933.0,6.7,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,-0.2,Negative
TRON: Legacy ,"['Action', 'Adventure', 'Sci-Fi']",170000000.0,172051787.0,6.8,arcade|bridge|disappearance|escape|warrior,0.0,Neutral
Cars 2 ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",200000000.0,191450875.0,6.3,best friend|car race|conspiracy|gadget car|spy,1.0,Positive
Green Lantern ,"['Action', 'Adventure', 'Sci-Fi']",200000000.0,116593191.0,5.6,autopsy|lantern|planet|ring|test pilot,0.0,Neutral
Toy Story 3 ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",200000000.0,414984497.0,8.3,college|day care|escape|teddy bear|toy,0.0,Neutral
Terminator Salvation ,"['Action', 'Adventure', 'Sci-Fi']",200000000.0,125320003.0,6.6,death row|future|machine|rescue|skynet,0.0,Neutral
Furious 7 ,"['Action', 'Crime', 'Thriller']",190000000.0,350034110.0,7.2,car falling off a cliff|hospital|revenge|star died before release|terrorist,0.0,Neutral
World War Z ,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",190000000.0,202351611.0,7.0,chaos|disease|infection|pandemic|zombie,0.0,Neutral
X-Men: Days of Future Past ,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",200000000.0,233914986.0,8.0,dystopia|super strength|supernatural power|time paradox|time travel,0.0,Neutral
Star Trek Into Darkness ,"['Action', 'Adventure', 'Sci-Fi']",190000000.0,228756232.0,7.8,admiral|captain|manhunt|mission|space,0.0,Neutral
Jack the Giant Slayer ,"['Adventure', 'Fantasy']",195000000.0,65171860.0,6.3,bean|giant|king|no opening credits|princess,0.0,Neutral
The Great Gatsby ,"['Drama', 'Romance']",105000000.0,144812796.0,7.3,ingratitude|mansion|party|title appears in writing|tragedy,0.0,Neutral
Prince of Persia: The Sands of Time ,"['Action', 'Adventure', 'Fantasy', 'Romance']",200000000.0,90755643.0,6.6,alamut|dagger|king|persia|princess,0.0,Neutral
Pacific Rim ,"['Action', 'Adventure', 'Sci-Fi']",190000000.0,101785482.0,7.0,giant monster|kaiju|pilot|portal|robot,0.0,Neutral
Transformers: Dark of the Moon ,"['Action', 'Adventure', 'Sci-Fi']",195000000.0,352358779.0,6.3,autobot|decepticon|job interview|moon|spacecraft,0.0,Neutral
Indiana Jones and the Kingdom of the Crystal Skull ,"['Action', 'Adventure', 'Fantasy']",185000000.0,317011114.0,6.2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,-0.12,Negative
Brave ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",185000000.0,237282182.0,7.2,archery|coming of age|female warrior|princess|rebellious daughter,0.0,Neutral
Star Trek Beyond ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",185000000.0,130468626.0,7.5,hatred|sequel|space opera|star trek|third part,0.0,Neutral
WALL·E ,"['Adventure', 'Animation', 'Family', 'Sci-Fi']",180000000.0,223806889.0,8.4,earth|obesity|plant|robot|soil,0.0,Neutral
Rush Hour 3 ,"['Action', 'Comedy', 'Crime', 'Thriller']",140000000.0,140080850.0,6.2,ambassador|assassination|chinese|french|triad,0.0,Neutral
2012 ,"['Action', 'Adventure', 'Sci-Fi']",200000000.0,166112167.0,5.8,ark|catastrophe|geologist|president|writer,0.0,Neutral
A Christmas Carol ,"['Animation', 'Drama', 'Family', 'Fantasy']",200000000.0,137850096.0,6.8,charles dickens|christmas|christmas eve|ghost|scrooge,0.0,Neutral
Jupiter Ascending ,"['Action', 'Adventure', 'Sci-Fi']",176000000.0,47375327.0,5.4,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,0.0,Neutral
The Legend of Tarzan ,"['Action', 'Adventure', 'Drama', 'Romance']",180000000.0,124051759.0,6.6,africa|capture|jungle|male objectification|tarzan,0.0,Neutral
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","['Adventure', 'Family', 'Fantasy']",180000000.0,291709845.0,6.9,hide and seek|lion|magic|professor|snow,0.0,Neutral
X-Men: Apocalypse ,"['Action', 'Adventure', 'Sci-Fi']",178000000.0,154985087.0,7.3,mutant|superhero|superhero team|x men|year 1983,0.0,Neutral
The Dark Knight ,"['Action', 'Crime', 'Drama', 'Thriller']",185000000.0,533316061.0,9.0,based on comic book|dc comics|psychopath|star died before release|urban setting,0.25,Positive
Up ,"['Adventure', 'Animation', 'Comedy', 'Family']",175000000.0,292979556.0,8.3,balloon|house|promise|retirement|skeleton,0.0,Neutral
Monsters vs. Aliens ,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",175000000.0,198332128.0,6.5,alien|alien invasion|alien space craft|giant|giantess,0.0,Neutral
Iron Man ,"['Action', 'Adventure', 'Sci-Fi']",140000000.0,318298180.0,7.9,afghanistan|billionaire|inventor|playboy|u.s. air force,0.0,Neutral
Hugo ,"['Adventure', 'Drama', 'Family', 'Mystery']",170000000.0,73820094.0,7.5,automaton|mechanical|railway station|steampunk|train,0.0,Neutral
Wild Wild West ,"['Action', 'Comedy', 'Sci-Fi', 'Western']",170000000.0,113745408.0,4.8,buddy movie|general|inventor|steampunk|utah,0.0,Neutral
The Mummy: Tomb of the Dragon Emperor ,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Thriller']",145000000.0,102176165.0,5.2,army|china|emperor|mummy|shangri la,0.0,Neutral
Suicide Squad ,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",175000000.0,161087183.0,6.9,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,0.25,Positive
Evan Almighty ,"['Comedy', 'Family', 'Fantasy']",175000000.0,100289690.0,5.4,ark|change|congressman|depiction of god|flood,0.0,Neutral
Edge of Tomorrow ,"['Action', 'Adventure', 'Sci-Fi']",178000000.0,100189501.0,7.9,alien|combat|dying repeatedly|end of the world|time loop,0.0,Neutral
Waterworld ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",175000000.0,88246220.0,6.1,future|sail|sea|smoker|water,0.0,Neutral
G.I. Joe: The Rise of Cobra ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",175000000.0,150167630.0,5.8,cobra|gi joe|snake|train|warhead,0.0,Neutral
Inside Out ,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",175000000.0,356454367.0,8.3,anger|joy|memory|running away|sadness,0.0,Neutral
The Jungle Book ,"['Adventure', 'Drama', 'Family', 'Fantasy']",175000000.0,362645141.0,7.8,fire|jungle|remake|tiger|wolf,0.0,Neutral
Iron Man 2 ,"['Action', 'Adventure', 'Sci-Fi']",200000000.0,312057433.0,7.0,hammer|military|monaco|revenge|tony stark,-0.2,Negative
Snow White and the Huntsman ,"['Action', 'Adventure', 'Drama', 'Fantasy']",170000000.0,155111815.0,6.1,evil queen|fairy tale|magic|queen|snow white,-0.5,Negative
Maleficent ,"['Action', 'Adventure', 'Family', 'Fantasy', 'Romance']",180000000.0,241407328.0,7.0,curse|dark fantasy|fairy|king|kingdom,0.0,Neutral
Dawn of the Planet of the Apes ,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",170000000.0,208543795.0,7.6,ape|dam|leader|post apocalypse|sequel,0.0,Neutral
47 Ronin ,"['Action', 'Adventure', 'Drama', 'Fantasy']",175000000.0,38297305.0,6.3,box office flop|ronin|samurai|shogun|tournament,0.0,Neutral
Captain America: The Winter Soldier ,"['Action', 'Adventure', 'Sci-Fi']",170000000.0,259746958.0,7.8,conspiracy|heroism|megalomaniac|super soldier|world domination,0.0,Neutral
Shrek Forever After ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",165000000.0,238371987.0,6.4,alternate world|fairy tale parody|female warrior|ogre|true love,0.25,Positive
Tomorrowland ,"['Action', 'Adventure', 'Family', 'Mystery', 'Sci-Fi']",190000000.0,93417865.0,6.5,boy genius|futuristic city|inventor|teenage girl|time travel,0.0,Neutral
Big Hero 6 ,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Sci-Fi']",165000000.0,222487711.0,7.9,high tech|martial arts|masked man|robot|superhero,0.16,Positive
Wreck-It Ralph ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",165000000.0,189412677.0,7.8,arcade|candy|glitch|king|medal,0.0,Neutral
The Polar Express ,"['Adventure', 'Animation', 'Family', 'Fantasy']",165000000.0,665426.0,6.6,boy|christmas|christmas eve|north pole|train,0.0,Neutral
Independence Day: Resurgence ,"['Action', 'Adventure', 'Sci-Fi']",165000000.0,102315545.0,5.5,alien|battle|defense|independence day|mothership,0.0,Neutral
How to Train Your Dragon ,"['Adventure', 'Animation', 'Family', 'Fantasy']",165000000.0,217387997.0,8.2,dragon|island|training|viking|village,0.0,Neutral
Terminator 3: Rise of the Machines ,"['Action', 'Sci-Fi']",200000000.0,150350192.0,6.4,drifter|exploding truck|future|machine|skynet,0.0,Neutral
Guardians of the Galaxy ,"['Action', 'Adventure', 'Sci-Fi']",170000000.0,333130696.0,8.1,bounty hunter|outer space|raccoon|talking animal|tree,0.0,Neutral
Interstellar ,"['Adventure', 'Drama', 'Sci-Fi']",165000000.0,187991439.0,8.6,black hole|father daughter relationship|saving the world|space travel|wormhole,-0.17,Negative
Inception ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",160000000.0,292568851.0,8.8,ambiguous ending|corporate espionage|dream|subconscious|thief,0.0,Neutral
The Hobbit: An Unexpected Journey ,"['Adventure', 'Fantasy']",180000000.0,303001229.0,7.9,dragon|dwarf|hobbit|orc|wizard,0.0,Neutral
The Fast and the Furious ,"['Action', 'Crime', 'Thriller']",38000000.0,144512310.0,6.7,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,0.0,Neutral
The Curious Case of Benjamin Button ,"['Drama', 'Fantasy', 'Romance']",150000000.0,127490802.0,7.8,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,0.0,Neutral
X-Men: First Class ,"['Action', 'Adventure', 'Sci-Fi']",160000000.0,146405371.0,7.8,cia|cia agent|mutant|nuclear war|professor,0.0,Neutral
The Hunger Games: Mockingjay - Part 2 ,"['Adventure', 'Sci-Fi']",160000000.0,281666058.0,6.6,death of sister|dystopia|execution|rebellion|revolution,0.0,Neutral
The Sorcerer's Apprentice ,"['Action', 'Adventure', 'Family', 'Fantasy']",150000000.0,63143812.0,6.1,chosen one|enchanted object|love|spell|training,0.0,Neutral
Poseidon ,"['Action', 'Adventure', 'Drama', 'Thriller']",160000000.0,60655503.0,5.6,cruise|escape|ocean|passenger|water,0.0,Neutral
Alice Through the Looking Glass ,"['Adventure', 'Family', 'Fantasy']",170000000.0,76846624.0,6.4,clock|dark fantasy|mad hatter|queen|sequel,0.0,Neutral
Shrek the Third ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",160000000.0,320706665.0,6.1,disney spoof|fairy tale|prince|princess|tough guy,0.0,Neutral
Warcraft ,"['Action', 'Adventure', 'Fantasy']",160000000.0,46978995.0,7.3,based on video game|fictional language|fictional war|orc|sword and sorcery,0.0,Neutral
Terminator Genisys ,"['Action', 'Adventure', 'Sci-Fi']",155000000.0,89732035.0,6.6,alternate timeline|cyborg|future|robot|time machine,0.0,Neutral
The Chronicles of Narnia: The Voyage of the Dawn Treader ,"['Adventure', 'Family', 'Fantasy']",155000000.0,104383624.0,6.3,dragon|king|mouse|quest|warrior,0.0,Neutral
Pearl Harbor ,"['Action', 'Drama', 'History', 'Romance', 'War']",140000000.0,198539855.0,6.1,air raid|black smoke|japanese military|japanese navy|sunday,0.0,Neutral
Transformers ,"['Action', 'Adventure', 'Sci-Fi']",150000000.0,318759914.0,7.1,alien contact|autobot|decepticon|robot vs. robot|teenage hero,-0.25,Negative
Alexander ,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Romance', 'War']",155000000.0,34293771.0,5.5,ancient greece|conquest|greek|greek myth|king,0.0,Neutral
Harry Potter and the Order of the Phoenix ,"['Adventure', 'Family', 'Fantasy', 'Mystery']",150000000.0,292000866.0,7.5,battle|magic|school|teacher|wizard,0.0,Neutral
Harry Potter and the Goblet of Fire ,"['Adventure', 'Family', 'Fantasy', 'Mystery']",150000000.0,289994397.0,7.6,fire|goblet|magic|tournament|wizard,0.0,Neutral
Hancock ,"['Action', 'Drama']",150000000.0,227946274.0,6.4,bully comeuppance|destruction|prison|superhero|tough girl,0.0,Neutral
I Am Legend ,"['Drama', 'Horror', 'Sci-Fi']",150000000.0,256386216.0,7.2,new york city|pandemic|post apocalypse|survivalist|virus,0.14,Positive
Charlie and the Chocolate Factory ,"['Adventure', 'Comedy', 'Family', 'Fantasy']",150000000.0,206456431.0,6.7,chocolate|diminution|miniaturization|physical flexability|ticket,0.0,Neutral
Ratatouille ,"['Animation', 'Comedy', 'Family', 'Fantasy']",150000000.0,206435493.0,8.0,chef|food|french|rat|restaurant,0.0,Neutral
Batman Begins ,"['Action', 'Adventure']",150000000.0,205343774.0,8.3,armored car|gangster|gotham|mixed martial arts|social decay,0.0,Neutral
Madagascar: Escape 2 Africa ,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",150000000.0,179982968.0,6.7,africa|madagascar|new york city|sequel|zoo,0.0,Neutral
Night at the Museum: Battle of the Smithsonian ,"['Adventure', 'Comedy', 'Family', 'Fantasy']",150000000.0,177243721.0,5.9,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,0.0,Neutral
X-Men Origins: Wolverine ,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",150000000.0,179883016.0,6.7,army|civil war|claw fight|commando|wolverine the character,0.0,Neutral
The Matrix Revolutions ,"['Action', 'Sci-Fi']",150000000.0,139259759.0,6.7,battle|epic|fight|future|machine,0.0,Neutral
Frozen ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",150000000.0,400736600.0,7.6,magic|sister love|sister sister relationship|snow|snowman,0.0,Neutral
The Matrix Reloaded ,"['Action', 'Sci-Fi']",150000000.0,281492479.0,7.2,car motorcycle chase|one against many|oracle|prophecy|stylized violence,0.0,Neutral
Thor: The Dark World ,"['Action', 'Adventure', 'Fantasy']",170000000.0,206360018.0,7.1,arrest|portal|thor|warrior|weapon,0.0,Neutral
Mad Max: Fury Road ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",150000000.0,153629485.0,8.1,australia|desert|escape|on the run|post apocalypse,0.0,Neutral
Angels & Demons ,"['Mystery', 'Thriller']",150000000.0,133375846.0,6.7,conclave|illuminati|murder|reference to bernini|reference to raphael,0.0,Neutral
Thor ,"['Action', 'Adventure', 'Fantasy']",150000000.0,181015141.0,7.0,battle|marvel cinematic universe|scientist|thor|throne,0.0,Neutral
Bolt ,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",150000000.0,114053579.0,6.9,cat|dog|hamster|new york city|superpower,0.0,Neutral
G-Force ,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",150000000.0,119420252.0,5.1,fbi director|guinea pig|household appliance|secret agent|talking mouse,0.0,Neutral
Wrath of the Titans ,"['Action', 'Adventure', 'Fantasy']",150000000.0,83640426.0,5.8,ares|hades|titan|underworld|zeus,0.0,Neutral
Dark Shadows ,"['Comedy', 'Fantasy', 'Horror']",100000000.0,79711678.0,6.2,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,0.0,Neutral
Mission: Impossible - Rogue Nation ,"['Action', 'Adventure', 'Thriller']",150000000.0,195000874.0,7.4,capture|computer hacker|mission|rogue agent|spy,0.0,Neutral
The Wolfman ,"['Drama', 'Fantasy', 'Horror', 'Thriller']",150000000.0,61937495.0,5.8,asylum|death|full moon|transformation|werewolf,0.0,Neutral
The Legend of Tarzan ,"['Action', 'Adventure', 'Drama', 'Romance']",180000000.0,124051759.0,6.6,africa|capture|jungle|male objectification|tarzan,0.0,Neutral
Bee Movie ,"['Adventure', 'Animation', 'Comedy', 'Family']",150000000.0,126597121.0,6.2,bee|dream sequence|egg|scatological humor|squashed bug,0.0,Neutral
Kung Fu Panda 2 ,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",150000000.0,165230261.0,7.3,china|kung fu|panda|peacock|tigress,0.0,Neutral
The Last Airbender ,"['Action', 'Adventure', 'Family', 'Fantasy']",150000000.0,131564731.0,4.2,avatar|fire|kingdom|tribe|water,0.0,Neutral
Mission: Impossible III ,"['Action', 'Adventure', 'Thriller']",150000000.0,133382309.0,6.9,arms dealer|fictional government agency|mission|rescue|vatican,0.0,Neutral
White House Down ,"['Action', 'Drama', 'Thriller']",150000000.0,73103784.0,6.4,black u.s. president|president|secret service|tour|white house,-0.17,Negative
Mars Needs Moms ,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",150000000.0,21379315.0,5.4,boy|martian|rescue|robot|sexism,0.0,Neutral
Flushed Away ,"['Adventure', 'Animation', 'Comedy', 'Family']",149000000.0,64459316.0,6.7,boat|frog|rat|sewer|toad,0.0,Neutral
Pan ,"['Adventure', 'Family', 'Fantasy']",150000000.0,34964818.0,5.8,1940s|child hero|fantasy world|orphan|reference to peter pan,0.0,Neutral
Mr. Peabody & Sherman ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",145000000.0,111505642.0,6.9,dog|father son relationship|inventor|talking dog|time travel,0.0,Neutral
Troy ,['Adventure'],175000000.0,133228348.0,7.2,greek|mythology|prince|trojan|troy,0.0,Neutral
Madagascar 3: Europe's Most Wanted ,"['Adventure', 'Animation', 'Comedy', 'Family']",145000000.0,216366733.0,6.9,animal|circus|island name in title|lemur|penguin,0.0,Neutral
Die Another Day ,"['Action', 'Adventure', 'Thriller']",142000000.0,160201106.0,6.1,catfight|clinic|colonel|diamond|patricide,0.0,Neutral
Ghostbusters ,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",144000000.0,118099659.0,5.5,ghost|ghostbuster|ghostbusters|male objectification|reboot,0.0,Neutral
Armageddon ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",140000000.0,201573391.0,6.6,asteroid|astronaut|bomb|meteorite|outer space,0.0,Neutral
Men in Black II ,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']",140000000.0,190418803.0,6.1,alien|lingerie|lingerie model|m.i.b.|pug,0.0,Neutral
Beowulf ,"['Action', 'Adventure', 'Animation', 'Fantasy']",150000000.0,82161969.0,6.3,creature|demon|king|reward|warrior,0.0,Neutral
Kung Fu Panda 3 ,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",145000000.0,143523463.0,7.2,china|kung fu|panda|pig|village,0.0,Neutral
Mission: Impossible - Ghost Protocol ,"['Action', 'Adventure', 'Thriller']",145000000.0,209364921.0,7.4,dubai|kremlin|race against time|russian|terrorist,0.0,Neutral
Rise of the Guardians ,"['Adventure', 'Animation', 'Family', 'Fantasy']",145000000.0,103400692.0,7.3,belief|box office hit|children|new york city|tooth,0.0,Neutral
Fun with Dick and Jane ,"['Comedy', 'Crime']",100000000.0,110332737.0,6.1,animal abuse|ceo|heist|suburb|unemployment,0.0,Neutral
The Last Samurai ,"['Action', 'Drama', 'History', 'War']",140000000.0,111110575.0,7.7,captain|emperor|honor|japan|samurai,0.0,Neutral
Exodus: Gods and Kings ,"['Action', 'Adventure', 'Drama']",140000000.0,65007045.0,6.1,egypt|exodus|moses|pharaoh|plague,0.0,Neutral
Star Trek ,"['Action', 'Adventure', 'Sci-Fi']",150000000.0,257704099.0,8.0,box office hit|future|lifted by the throat|star trek|vulcan,0.0,Neutral
Spider-Man ,"['Action', 'Adventure', 'Fantasy', 'Romance']",139000000.0,403706375.0,7.3,evil|goblin|spider|spider man|superhero,0.0,Neutral
How to Train Your Dragon 2 ,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",145000000.0,176997107.0,7.9,dragon|father son relationship|husband wife relationship|mother son relationship|viking,0.0,Neutral
Gods of Egypt ,"['Action', 'Adventure', 'Fantasy']",140000000.0,31141074.0,5.5,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,0.0,Neutral
Stealth ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",135000000.0,31704416.0,5.0,artificial intelligence|box office flop|fighter jet|navy|pilot,-0.6,Negative
Watchmen ,"['Action', 'Drama', 'Mystery', 'Sci-Fi']",130000000.0,107503316.0,7.7,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,0.18,Positive
Lethal Weapon 4 ,"['Action', 'Crime', 'Thriller']",140000000.0,129734803.0,6.6,kung fu|lapd|martial arts|private investigator|triad,0.0,Neutral
Hulk ,"['Action', 'Sci-Fi']",137000000.0,132122995.0,5.7,1980s|c 130 hercules|monster|panzer|san francisco california,0.0,Neutral
G.I. Joe: Retaliation ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",130000000.0,122512052.0,5.8,general|gi joe|martial arts|ninja|president,0.0,Neutral
Sahara ,"['Action', 'Adventure', 'Comedy', 'Thriller']",130000000.0,68642452.0,6.0,beach|civil war|desert|dictator|ship,0.0,Neutral
